,0
peter,0.02639689833328167
paul,0.02164152334422106
van,0.020243073697562033
lai,0.02002950228049237
al,0.019328163889774954
david,0.017848257234073274
andrew,0.016196223918017547
eric,0.015430165624523026
michael,0.013575665969259293
baric,0.012452361283718835
baker,0.011272160928563266
vincent,0.01112624242612357
chen,0.011072047230239248
baric ralph,0.011042349008129566
fang,0.010769385624383338
ralph,0.010568291385851719
patrick,0.010509684298774954
richard,0.010199910554363784
luis,0.010170720958519345
cheng,0.009931518519376384
gary,0.00990736805374405
li,0.009781731571031802
benjamin,0.009663764825445903
brian,0.009577715865734132
xiang,0.009512472957777088
john,0.009242421153698077
ali,0.009113377006035065
christopher,0.009012333570712516
te,0.008973958684690902
zhao,0.008805139643191141
maria,0.008801339935965963
haagmans,0.008751678823649838
hong,0.008580780166723569
ding,0.008485036988994428
thomas,0.00847094342410332
zhang,0.008362210526756416
liu,0.008172719021046352
wang,0.008096818653332475
wong,0.007948971578739538
matthew,0.0077103437779248
drosten,0.007668572908970451
ma,0.00751746259230381
stefan,0.007467960421207994
christian,0.007450028211368152
huang,0.007435030854062635
ling,0.007288415334620857
zhou,0.00722383200352394
lei,0.007082278031297799
susan,0.006980412677007802
mark,0.006928925562275887
lin,0.006895923442695119
peiris,0.006881772314557658
zheng,0.0067640831743127705
ying,0.006668192255747687
martin,0.006601752935193052
scott,0.006573900853817174
tan,0.006477540812657462
lee,0.0064516089930034175
kathryn,0.00644518887030305
guo,0.00641598333891637
han,0.006373780781493217
stephen,0.0061783372149659685
jin,0.00611130246485051
kim,0.006101415351786934
enjuanes,0.006096787081089193
yu,0.00606690423772482
muller,0.006050981263073748
lu,0.006002537673242029
yuan,0.005932379752764267
xiao,0.005931010594134813
song,0.005885571104234811
james,0.005867686246568857
hui,0.005857373381909947
shen,0.005766993318905378
yang,0.005635374570224301
robert,0.005555248673913585
xu,0.005538869043527137
zhu,0.005535689175552837
poon,0.005379294345329558
yi,0.005371079015330756
sun,0.00532671411712488
perlman stanley,0.005266959737167201
ming,0.005227081171780348
graham,0.005206394631863652
drosten christian,0.005162679695531574
du,0.005108826254546709
yuen kwok,0.0050955127657903165
bart,0.005070661415811902
jan,0.005037584418166325
woo,0.004830312726356175
haagmans bart,0.004806032870275712
wu,0.004801508693228423
su,0.004694902517799108
chang,0.004658535037639857
feng,0.004465766915699877
alexander,0.004465095225636668
jean,0.004444486180480396
chan,0.004391078620394542
marc,0.004387177488949219
yun,0.004386949098923286
lisa,0.004356865293194671
dong,0.00434581680887081
susanna,0.004289082178460127
perlman,0.0042142907517726666
ho,0.004212611711371309
jiang,0.004201944322878998
wei,0.004189585139457033
stanley,0.004181398961774237
buonavoglia,0.0040772857762442815
chun,0.00400051874569637
ping,0.00397730289756432
shi,0.003956358334905023
rottier,0.0038941643011086336
william,0.003883727837111889
weiss,0.003795183731055522
gao,0.003764251831252692
berend,0.003607925750025167
joseph,0.0035879605419143154
makino shinji,0.0035827917144763194
yan,0.003533816653932707
joo,0.003528369849573961
peng,0.0034989355411757777
liang,0.0034663859973807164
chung,0.0034628985513079817
enjuanes luis,0.003445480182499245
yuen kwok yung,0.003427514069704569
talbot,0.003374540899244643
pierre,0.003277533829230987
chien,0.0031979992819486597
kwok yung,0.003099471869723534
bo,0.003077700146473114
kwok,0.0030135542615512714
min,0.002988663095593988
tao,0.0029517208527313193
daniel,0.002917181414792434
jian,0.0027941867140805756
lau,0.0027921557859905627
yee,0.0027600901582606574
makino,0.002727332720739326
der,0.0026898683033788192
woo patrick,0.0026827953778902095
weiss susan,0.0026525766346964788
nicola,0.0025031067509846613
holmes,0.0024237118146530293
wen,0.0024232246413090934
yong,0.0024135809658168625
shinji,0.00239684163689486
van der,0.002274322613504754
ng,0.0021469325928423198
yuen,0.0020864182896859584
hung,0.001967294745139531
chi,0.001954724154123998
timothy,0.0018904239960895492
rottier peter,0.0017746794945205757
yung,0.0013796332393177476
lia,0.0012509032197946014
bosch berend,0.0008912865936233134
chan kwok,0.0008051348333089533
lau susanna,0.0007380944848074952
bosch,0.0006621882547123763
kwok hung,0.0002986930587528549
chan kwok hung,0.0001719525989031777
