,0
virus,0.004361074768736364
viral,0.0029938505568263833
covid 19,0.0024817403379611383
viruses,0.002432131408369286
covid,0.00242272418019871
infection,0.0020159957262515793
influenza,0.0018239401227671166
19,0.0017735565532367725
cell,0.0014359804379811838
rna,0.001315591008471106
infections,0.0012534948881363316
infectious,0.0012416388638153157
respiratory,0.0012314486591112272
pathogens,0.0011921830127680272
proteins,0.0011711579861910736
human,0.0011689080143896463
cells,0.0011536209574015198
protein,0.0011249009562365004
19 pandemic,0.0011247369544940351
cellular,0.0010049171265487282
host,0.0009902891543621772
covid 19 pandemic,0.0009691027763294451
genome,0.0009511904804926365
pandemic,0.0009458882866886476
chapter,0.000925220893851199
replication,0.0009243829258022378
immune,0.0009194618934639943
expression,0.000893062737620849
disease,0.0008886456914478487
detected,0.0008683393438834998
severe,0.0008600721781336538
strains,0.0008479001058712754
binding,0.0008464498334029247
infected,0.0008388178811108964
antiviral,0.0008288013752896546
samples,0.0008042344898554393
2019,0.0007713907484240117
paper,0.0007557832343077931
specific,0.0007482980499627641
species,0.0007373267098203949
coronavirus,0.0007267552799831177
gene,0.0007261158091304069
social,0.0006913306261691766
acute respiratory,0.0006910534259413894
acid,0.0006901653633933853
assay,0.000685181601620573
induced,0.0006752366902724521
2020,0.0006743012745062651
work,0.0006701834543540412
sars,0.0006606303020818623
mice,0.0006604477489127211
potential,0.0006601855074626178
pathogen,0.0006563439015413155
identified,0.0006490967745463952
cov,0.000646659651699464
diseases,0.0006464613268680405
acute,0.0006446552253600028
molecular,0.0006340227102352676
results,0.0006319637103086524
epidemic,0.0006310561074368972
novel,0.0006282770081323902
associated,0.0006232992638790938
patients,0.0006141918289453105
outbreaks,0.0006112970627216052
responses,0.0006017993838153222
based,0.0006003452953861786
patient,0.0005993496593367921
sars cov,0.0005973539692834225
methods,0.0005879841207337759
syndrome sars,0.0005823284141313029
respiratory syndrome,0.0005818212280181507
study,0.0005798473293278887
animal,0.0005736789313493797
learning,0.0005718955418220249
syndrome,0.0005697861430454861
care,0.0005671974031955021
health,0.0005652051645026094
inhibited,0.0005609549685935196
severe acute respiratory,0.0005575060607899597
clinical,0.00055678356180832
