,0
east,0.023553587535990288
license_unk,0.021698707779287094
respiratory syndrome,0.02113036737144023
WoSkategorie_0_impactQ_Q3,0.020508029754387026
middle east,0.018886815246924524
east respiratory,0.018877802750483872
FORD_0_impactQ_Q2,0.017723369944688757
middle east respiratory,0.016926400621272594
FORD_0_aisQ_Q2,0.016409909949143504
east respiratory syndrome,0.016306988136369115
FORD_0_impactQ_Q1_D2,0.01619778659266388
FORD_0_aisQ_Q1_D1,0.015980959456338636
mers,0.015112443538570277
WoSkategorie_0_aisQ_Q1_D2,0.013863819462905736
WoSkategorie_0_impactQ_Q1,0.013688535990142987
FORD_0_impactQ_Q1_D1,0.012092416673041955
license_elscovid,0.011836586802135136
FORD_0_aisQ_Q1_D2,0.011693599495093042
respiratory syndrome coronavirus,0.011116632737779027
WoSkategorie_0_aisQ_Q3,0.010407244920229722
journal_Journal_of_Virology,0.010187325109978893
respiratory,0.009423583374543876
merscov,0.00923939026826643
syndrome,0.009112643622866633
middle,0.009081693929912739
WoSkategorie_0_aisQ_Q1_D1,0.009012008555655336
syndrome coronavirus,0.006840796839001739
FORD_0_aisQ_Q3,0.005664425923339918
WoSkategorie_0_aisQ_Q2,0.005497118456783757
acute respiratory,0.0053367453739251655
coronavirus mers,0.005167398752978656
mers cov,0.0047718216697441
severe,0.004461144421742233
human,0.004309252517967877
emergence,0.0039473070937223066
cov,0.0038765936551426873
WoSkategorie_0_impactQ_Q1_D2,0.003853438496554632
WoSkategorie_0_impactQ_Q1_D1,0.0037935691293450864
journal_Proceedings_of_the_National_Academy_of_Sciences,0.0037317892053088312
emerging,0.0034038132419785838
novel,0.003344923251608339
severe acute respiratory,0.0032174625464135125
zoonotic,0.0031728601624011147
syndrome coronavirus merscov,0.0030679121984572206
sarscov,0.002851715354990091
WoSkategorie_0_impactQ_Q2,0.0028241136936515937
coronavirus merscov,0.002741126280422541
acute respiratory syndrome,0.002740583389458221
factor,0.002690095545834914
dromedary,0.002543253430427396
acute,0.002515660722262039
ralph,0.002446867628772614
replication,0.0024438720662433955
antiviral,0.0024085813087943646
virulence,0.002396513492852063
WoSkategorie_0_impactQ_Q4,0.0023674286483823196
FORD_0_impactQ_Q3,0.0022657672702753474
understanding,0.00225229334003065
viral replication,0.002224970277602734
mers coronavirus,0.002213438017695144
reaction,0.0022132982178022257
activated,0.002200142805514739
paul,0.002187832756957843
complex,0.0021740335772282523
mers cov infection,0.0021731303174718285
license_nocc,0.002170471821847158
journal_Virology,0.0021322424106706784
WoSkategorie_0_aisQ_Q4,0.002123892220368181
bat,0.0021189039889752837
syndrome coronavirus mers,0.0019394760944581313
vaccines,0.0019329877673182584
chain,0.0019177886974277452
WoSkategorie_0_obor_BIOCHEMICAL_RESEARCH_METHODS_SCIE,0.0019145550576389276
severe acute,0.001897766600188882
bovine,0.0018746224633349737
er,0.0018353346333456276
rottier_peter,0.0018079208037708363
peter,0.0017491098134039382
receptor,0.0017471286767137043
regulatory,0.0017185891863138961
activation,0.0016940552127313552
degradation,0.0016657656760935933
context,0.0016595061240414852
viruses,0.0016449628183760555
nonstructural,0.001629885120503345
genomes,0.0016210553028105316
sars patients,0.0015991667833307353
coronavirus mers cov,0.0015819447712885437
patients,0.0015693145812219382
journal_PLoS_Pathog,0.0015601110013213238
coronavirus bcv,0.0015468922999235808
van,0.0015377713335198192
inhibition,0.0015253591560460927
dpp4,0.001521365975486145
crystal,0.001513268003902639
sars coronavirus,0.0015111342095834423
journal_Arch_Virol,0.0014884534562788771
arabian,0.0014721271024357363
fever,0.0014685556846901985
encodes,0.0014284769108195614
animal,0.0014252629190109702
dromedary camels,0.0014201280855960271
evolved,0.0014145602445824216
public health,0.0013936355454661582
signal,0.001389314163101161
coronavirus sarscov,0.001386351820083476
new,0.001381585522124798
journal_Viruses,0.0013734090991288728
sars cov,0.0013563183563308125
FORD_0_aisQ_Q1,0.0013406981409196394
key,0.0013148948996814624
FORD_0_ford_10600,0.0013028675355926972
closely,0.0012873974863888958
der,0.0012836299928381536
genetics,0.0012660741428842611
double,0.0012491461162378243
baric_ralph,0.0012273934930243288
wei,0.0012141859200322561
compounds,0.0012117660202610847
sars,0.0012083732401007839
potent,0.0012079795180072988
journal_Emerg_Infect_Dis,0.0012038775208873722
coronavirus cov,0.0012025887881318151
complexes,0.0011965299145691218
innate immune,0.001183947390468806
2012,0.001175199005598877
strategies,0.0011706661409472995
transmission,0.0011706096289085127
activate,0.001164376930529552
FORD_0_impactQ_Q1,0.0011553018733488135
camels,0.001122189529450525
receptorbinding,0.0011196688404396
eric,0.0011138463281945962
al_x,0.0011098027310830092
including,0.0010952166180992597
lai,0.0010920605527666779
vaccine,0.0010907425956742127
WoSkategorie_0_obor_VIROLOGY_SCIE,0.0010870278831474267
inoculated,0.001077809276284748
jian,0.001070871085848884
nasopharyngeal,0.001063319824038651
respiratory tract,0.0010514394185921416
