,0
middle east respiratory,0.005593714667351178
syndrome,0.004466513731826072
middle east_y,0.003708800411472404
mers cov,0.0034248514645679605
syndrome coronavirus,0.003127427731159619
east,0.0030490914809907775
coronavirus mers,0.0027996543949217983
respiratory syndrome,0.0027908298375235517
east respiratory,0.0024904825203909205
respiratory syndrome coronavirus,0.0023323620160404113
respiratory_y,0.002172279757444108
merscov_y,0.0018596468046941522
open reading frame 3,0.0018223995638869366
mers_y,0.0017199184517651628
middle,0.0015491625379651615
substituents,0.001544656607458928
cov_y,0.001521793731772043
zoonotic_y,0.0015094158867988647
crosssectional serosurvey,0.0014950512185356141
results_y,0.0014925272509712048
chemokine ccl2 monocyte chemoattractant protein mcp1,0.0014742292543572799
molecular tests,0.001469061282158228
syndrome coronavirus mers,0.001440679754913584
viral mrnas,0.0014372218364730948
merss,0.0013589624413218773
recombinant attenuated parainfluenza virus bhpiv3,0.0013224857024938092
detergentresistant membranes,0.0013175839125946214
vectored mucosal vaccine,0.0013168357343704392
east respiratory syndrome,0.0013000686875568167
acute_y,0.0012721401427769948
lung examination,0.0012707757729562453
sars_y,0.0012303208443085007
acute respiratory,0.0012148623130138324
activation_y,0.0011928829057425835
vectors vector,0.0011624524639957184
rna molecule,0.0011495211413427924
lifeattenuated virus strains,0.0011283416983417856
novel_y,0.001113210249090838
vaccinia virus vectors,0.0011073601904870675
amino acid substitution,0.0010896732101646398
human cov 229e exon activesite,0.0010866340352162457
hp,0.0010847067331033022
showed,0.0010836521300702144
covs_y,0.001076856246741855
apical aacuaaa heptaloop,0.0010722855624396936
infections_y,0.0010621702295564898
rnp,0.0010553868820251213
tiaubein differential management,0.0010543728920232656
s3,0.001053834854010129
fluorogenic substrate,0.0010457266837698748
doi101038ncomms4067,0.0010445814991715682
f73 r84 w86 r310 d331 g333 p335 y368,0.0010431204892916407
intensification,0.0010283289473186786
reported,0.0010274245717456867
entire coding region,0.0010269293178327274
recombination frequency,0.0010239571305705028
infectious dose,0.0010183230929446297
reciprocal exchanges,0.0010142877671570464
sarscoronavirus transmission,0.0010139058825352784
merscov receptor,0.0010113931562993307
di rnas,0.0010113723239730454
mitochondries,0.0009969693259788974
multiple superspreading events,0.0009962813360418058
early control,0.0009851910617283877
rapid_y,0.0009838919733651938
pair,0.0009828428657860976
spatiotemporally organized,0.0009788772488820434
vesicular stomatitis virus g protein vsvg,0.0009716707545280802
dihc,0.0009710499914858578
human lung fibroblasts,0.000970678877438041
clinical manifestations,0.0009674056920601269
antibody rbs,0.0009671492726511953
coronavirus_y,0.0009669252838808562
human_y,0.000956465498027206
bovine coronavirusspecific antibodies,0.0009548049740941609
antiviral_y,0.0009533866870239406
findings_y,0.0009518669568606791
review approaches,0.0009514455367402625
humans_y,0.0009493777138998619
autographa cafifornica,0.0009476366125042305
sequence_y,0.0009425885478333184
plasmid dna expression vectors,0.0009343448174134392
dcsign dendritic cellspecific icam3grabbing nonintegrin,0.0009227791602071492
sip,0.0009213463723750364
detected_y,0.0009183355661948206
diagnostic tool,0.0009182891379314391
contrast,0.0009139506149846848
helicase activities,0.0009129166248312598
nucleotide positions 2771928104 and spanning open reading frames,0.0009086771872165971
cxc chemokine receptor 3 cxcr3,0.0009082328912485864
used,0.0009077704841223858
immunisation,0.0009039329292131392
cisacting viral proteins,0.000903326178258112
summary,0.0009008555756006139
lung failure,0.0008978158414535842
